  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0015                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.165 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.01225   0.00649  -0.0000   0.8298   0.8298
   1.000   0.1157   0.01263   0.00673   0.0032   0.7542   0.8885
   2.000   0.2564   0.01343   0.00721   0.0002   0.6639   0.9304
   3.000   0.4195   0.01418   0.00752  -0.0092   0.5621   0.9636
   4.000   0.5870   0.01476   0.00767  -0.0210   0.4519   0.9939
   5.000   0.6897   0.01536   0.00792  -0.0211   0.3568   1.0000
   6.000   0.7618   0.01652   0.00870  -0.0149   0.2754   1.0000
   7.000   0.8260   0.01823   0.01010  -0.0071   0.2068   1.0000
   8.000   0.8853   0.02043   0.01212   0.0017   0.1576   1.0000
   9.000   0.9439   0.02305   0.01465   0.0103   0.1251   1.0000
  10.000   1.0054   0.02632   0.01791   0.0179   0.1032   1.0000
  13.000   1.1770   0.04046   0.03257   0.0359   0.0689   1.0000
  14.000   1.1748   0.04804   0.04098   0.0439   0.0640   1.0000
  15.000   1.1530   0.05958   0.05317   0.0465   0.0606   1.0000
  16.000   1.0293   0.08636   0.08109   0.0352   0.0603   1.0000
  19.000   0.4764   0.18727   0.18312  -0.0108   0.0762   1.0000
  20.000   0.5132   0.19870   0.19460  -0.0126   0.0692   1.0000
