  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0015                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00000  -0.00137  -0.0000   0.0000   0.0000
   1.000   0.1237   0.00000  -0.00137  -0.0019   0.0000   0.0000
   2.000   0.2473   0.00000  -0.00138  -0.0038   0.0000   0.0000
   3.000   0.3708   0.00000  -0.00138  -0.0057   0.0000   0.0000
   4.000   0.4942   0.00000  -0.00139  -0.0075   0.0000   0.0000
   5.000   0.6175   0.00000  -0.00140  -0.0094   0.0000   0.0000
   6.000   0.7406   0.00000  -0.00141  -0.0113   0.0000   0.0000
   7.000   0.8635   0.00000  -0.00142  -0.0131   0.0000   0.0000
   8.000   0.9861   0.00000  -0.00144  -0.0149   0.0000   0.0000
   9.000   1.1084   0.00000  -0.00145  -0.0167   0.0000   0.0000
  10.000   1.2304   0.00000  -0.00147  -0.0185   0.0000   0.0000
  11.000   1.3520   0.00000  -0.00149  -0.0203   0.0000   0.0000
  12.000   1.4731   0.00000  -0.00151  -0.0220   0.0000   0.0000
  13.000   1.5939   0.00000  -0.00153  -0.0238   0.0000   0.0000
  14.000   1.7141   0.00000  -0.00156  -0.0254   0.0000   0.0000
  15.000   1.8339   0.00000  -0.00158  -0.0271   0.0000   0.0000
  16.000   1.9530   0.00000  -0.00161  -0.0287   0.0000   0.0000
  17.000   2.0716   0.00000  -0.00164  -0.0303   0.0000   0.0000
  18.000   2.1896   0.00000  -0.00167  -0.0319   0.0000   0.0000
  19.000   2.3069   0.00000  -0.00170  -0.0334   0.0000   0.0000
  20.000   2.4234   0.00000  -0.00173  -0.0348   0.0000   0.0000
